"","Avg Age","Norm. Major Count"
"Mathematics","18.0","0.490654205607477"
"Applied Linguistics","18.1666666666667","0.588785046728972"
"Chemistry","18.1666666666667","2.35514018691589"
"Economics","18.1818181818182","1.07943925233645"
"Environmental Studies","18.2","0.981308411214953"
"Elementary Education","18.2307692307692","1.27570093457944"
"Child and Family Studies","18.25","1.17757009345794"
"Health Studies","18.3","3.92523364485981"
"International Studies","18.3111111111111","4.41588785046729"
"Theater Arts","18.3333333333333","1.47196261682243"
"Undecided","18.3411214953271","21.0"
"Administration of Justice","18.3888888888889","1.76635514018692"
"Did not answer","18.4025974025974","7.55607476635514"
"Environmental Sciences and Resources","18.4444444444444","0.883177570093458"
"Film","18.4444444444444","1.76635514018692"
"Mechanical Engineering","18.4583333333333","2.35514018691589"
"Computer Engineering","18.4615384615385","1.27570093457944"
"Business Administration","18.4656084656085","18.5467289719626"
"Computer Science","18.5769230769231","2.55140186915888"
"Psychology","18.5932203389831","5.78971962616822"
"Science","18.6666666666667","0.883177570093458"
"Art","18.719298245614","5.59345794392523"
"Biology","18.7236842105263","7.45794392523365"
"Civil Engineering","18.7368421052632","1.86448598130841"
"Anthropology","18.75","1.17757009345794"
"Architecture","18.7666666666667","2.94392523364486"
"English","18.8372093023256","4.2196261682243"
"Philosophy","18.8461538461538","1.27570093457944"
"Music","18.8529411764706","3.33644859813084"
"Social Work","18.8571428571429","0.686915887850467"
"Political Science","18.9583333333333","2.35514018691589"
"Communication Studies","19.0588235294118","1.66822429906542"
"Foreign Languages","19.0645161290323","3.04205607476636"
"Accounting","19.0967741935484","3.04205607476636"
"Engineering","19.25","0.785046728971963"
"Social Science","19.5","0.588785046728972"
"History","19.5714285714286","2.0607476635514"
"Electrical Engineering","19.7777777777778","1.76635514018692"
"Physics","20.2857142857143","0.686915887850467"
